Pearson correlation w2v,0.0019689775038220178
Word,Popularity,Antonym,Popularity,Abs,Similarity wup
inhale,0,exhale,0,0,0.8947338461875916
miser,0,spendthrift,0,0,1.1457301527261734
obedient,2,disobedient,2,0,1.134082406759262
optimist,0,pessimist,0,0,0.9809337388724089
sow,3,reap,3,0,1.0364597290754318
yin,0,yang,0,0,0.9657216370105743
fore,6,aft,5,1,1.0841292291879654
fortunate,21,unfortunate,22,1,0.9105544462800026
frequent,34,seldom,33,1,0.9555805325508118
lawful,2,unlawful,1,1,0.9781464487314224
nadir,2,zenith,1,1,1.1488432884216309
plentiful,7,scarce,6,1,0.8553591668605804
poverty,19,wealth,20,1,0.9782338906079531
prudent,1,imprudent,0,1,1.074432611465454
rude,5,courteous,6,1,1.01823958940804
success,86,failure,85,1,0.9038399010896683
zenith,1,nadir,2,1,1.1488432884216309
zip,1,unzip,0,1,1.1032092422246933
brighten,0,fade,2,2,0.9252783358097076
fade,2,brighten,0,2,0.9252783358097076
glad,36,sad,34,2,1.121706485748291
guest,34,host,36,2,0.9039781168103218
harmful,3,harmless,5,2,1.0203978568315506
harsh,12,mild,14,2,0.9471429139375687
intelligent,25,stupid,23,2,1.1092209219932556
junior,29,senior,31,2,1.0132712312042713
lengthen,2,shorten,4,2,1.0416738837957382
melt,4,freeze,6,2,1.196066603064537
polite,7,rude,5,2,1.0143486931920052
rough,40,smooth,42,2,0.9061716496944427
abundant,9,scarce,6,3,0.8782462328672409
antonym,0,synonym,3,3,1.0952407717704773
ascend,1,descend,4,3,0.8740182816982269
bless,8,curse,11,3,0.9500052705407143
clockwise,3,counterclockwise,0,3,0.9685483053326607
clumsy,6,graceful,9,3,0.7938317209482193
dreary,6,cheerful,9,3,1.1055894643068314
intentional,5,accidental,8,3,1.003158010309562
north,62,south,59,3,1.0401164591312408
synonym,3,antonym,0,3,1.0952407717704773
win,55,lose,58,3,0.8480808585882187
borrow,9,lend,13,4,1.0972715765237808
courteous,6,discourteous,2,4,0.8778184279799461
demand,101,supply,97,4,0.9064119830727577
fold,6,unfold,2,4,0.9821620900183916
lend,13,borrow,9,4,1.0972715765237808
unfold,2,fold,6,4,0.9821620900183916
virtue,30,vice,26,4,1.0520976297557354
create,53,destroy,48,5,0.9577126502990723
daytime,18,nighttime,13,5,1.0339058190584183
nighttime,13,daytime,18,5,1.0339058190584183
downwards,0,upwards,6,6,0.7955007255077362
east,42,west,48,6,0.8950086385011673
lazy,9,industrious,3,6,1.1780404299497604
cool,58,warm,65,7,0.8544539958238602
export,9,import,16,7,0.983955716714263
gloomy,2,cheerful,9,7,0.9210864007472992
horizontal,9,vertical,16,7,1.0029722738545388
ill,26,healthy,33,7,0.8880705907940865
landlord,12,tenant,5,7,1.0087559605017304
lenient,3,strict,10,7,0.9735363349318504
strict,10,lenient,3,7,0.9735363349318504
transparent,12,opaque,5,7,1.0077637620270252
clever,15,stupid,23,8,0.9513827040791512
guilty,29,innocent,37,8,0.8747371137142181
external,38,internal,47,9,0.9720899611711502
internal,47,external,38,9,0.9720899611711502
admit,37,deny,47,10,1.1157397329807281
approve,14,disapprove,4,10,0.9565662816166878
awake,19,asleep,29,10,1.0959241539239883
hill,38,valley,48,10,1.157360851764679
maximum,78,minimum,68,10,0.908052533864975
permanent,40,temporary,30,10,0.9680111929774284
sunny,12,cloudy,2,10,1.0839167535305023
vast,60,tiny,49,11,0.9441629871726036
attic,14,cellar,26,12,0.9082601368427277
gentle,27,rough,40,13,1.1385829150676727
dangerous,44,safe,58,14,1.0718840509653091
plural,0,singular,14,14,1.1447852551937103
push,36,pull,50,14,1.0976214557886124
scatter,2,collect,16,14,0.9375713765621185
singular,14,plural,0,14,1.1447852551937103
wax,14,wane,0,14,1.1036077365279198
loyal,17,disloyal,2,15,1.0406484045088291
rapid,43,slow,58,15,1.0632107257843018
upstairs,27,downstairs,12,15,0.9698792602866888
wet,51,dry,66,15,0.9234653785824776
bitter,52,sweet,68,16,0.9426092803478241
come,589,go,605,16,1.05602752789855
compulsory,6,voluntary,22,16,0.9482580982148647
dusk,9,dawn,25,16,0.7991372793912888
join,60,separate,76,16,0.9670674726366997
separate,76,join,60,16,0.9670674726366997
sick,49,healthy,33,16,1.1815176159143448
voluntary,22,compulsory,6,16,0.9482580982148647
arrive,24,depart,7,17,0.980603652074933
blame,34,praise,17,17,0.9786090645939112
brave,20,cowardly,3,17,1.1968320906162262
foolish,16,wise,33,17,0.855663925409317
messy,3,neat,21,18,1.0369986295700073
neat,21,messy,3,18,1.0369986295700073
sober,16,drunk,34,18,0.9616136215627193
bold,20,meek,1,19,0.9974155863747001
grant,35,refuse,16,19,0.9299085885286331
fast,78,slow,58,20,1.1020528376102448
float,3,sink,23,20,0.9032656997442245
laugh,28,cry,48,20,1.0664874985814095
sink,23,float,3,20,0.9032656997442245
slow,58,fast,78,20,1.1020528376102448
broad,82,narrow,61,21,0.8841945752501488
cheap,23,expensive,44,21,1.015807207673788
qualified,24,unqualified,2,22,0.976942952722311
unqualified,2,qualified,24,22,0.976942952722311
conceal,7,reveal,30,23,1.1543580144643784
fail,37,succeed,14,23,1.1083155423402786
inferior,7,superior,30,23,1.0597379952669144
rich,69,poor,92,23,1.060910202562809
boy,235,girl,211,24,0.9445761814713478
generous,25,stingy,1,24,1.0867515578866005
girl,211,boy,235,24,0.9445761814713478
mature,31,immature,7,24,0.9837136324495077
cheerful,9,sad,34,25,0.8392751812934875
loose,53,tight,28,25,0.957805622369051
thick,67,thin,92,25,0.9410191513597965
tight,28,loose,53,25,0.957805622369051
vacant,11,occupied,36,25,1.0827605053782463
giant,23,tiny,49,26,1.026725271716714
inner,53,outer,27,26,1.1162013038992882
outer,27,inner,53,26,1.1162013038992882
victory,54,defeat,28,26,0.8703160732984543
secure,30,insecure,3,27,1.0613231845200062
visible,34,invisible,7,27,1.1883423626422882
inside,162,outside,190,28,1.1211727559566498
merry,6,sad,34,28,0.9601788222789764
definite,36,indefinite,7,29,0.8235805630683899
accurate,35,inaccurate,5,30,1.0120574403554201
courage,32,cowardice,2,30,1.0826982483267784
loss,85,win,55,30,0.9463494531810284
powerful,62,weak,32,30,0.9707432594150305
satisfactory,38,unsatisfactory,8,30,0.9722035098820925
sorrow,9,joy,40,31,0.8887209370732307
calm,34,windy,2,32,0.9550445154309273
diseased,1,healthy,33,32,0.9067690521478653
healthy,33,diseased,1,32,0.9067690521478653
humble,18,proud,50,32,1.2669126689434052
attractive,39,repulsive,4,35,1.0239451993256807
fat,57,thin,92,35,0.9059645682573318
immense,14,tiny,49,35,1.087729424238205
comfort,43,discomfort,7,36,1.0981461629271507
discourage,9,encourage,45,36,1.0822109505534172
encourage,45,discourage,9,36,1.0822109505534172
wisdom,42,folly,6,36,1.0498390384018421
build,85,destroy,48,37,0.9884804133325815
minority,20,majority,57,37,1.0328790247440338
exterior,8,interior,46,38,0.9467640221118927
friend,125,enemy,87,38,1.1176175251603127
interior,46,exterior,8,38,0.9467640221118927
accept,71,decline,31,40,0.9333268105983734
decline,31,accept,71,40,0.9333268105983734
bound,42,unbound,1,41,1.1343320310115814
useful,58,useless,17,41,1.016344191506505
famous,89,unknown,47,42,1.0876006335020065
hero,46,coward,4,42,0.9645847007632256
honest,45,dishonest,3,42,0.9408244155347347
cold,161,hot,118,43,0.8486306667327881
hot,118,cold,161,43,0.8486306667327881
agree,51,disagree,7,44,0.8728561997413635
contract,59,expand,13,46,0.9309881329536438
expand,13,contract,59,46,0.9309881329536438
tame,5,wild,51,46,1.035016056150198
correct,51,incorrect,4,47,1.199493482708931
slim,10,fat,57,47,1.0456708818674088
dull,27,bright,77,50,1.2067299485206604
heaven,23,hell,74,51,1.1113636791706085
careful,60,careless,7,53,1.0199550166726112
capable,64,incapable,10,54,0.9989219850394875
interesting,81,dull,27,54,0.9412284679710865
pure,54,impure,0,54,0.9450046680867672
dry,66,moist,11,55,0.8118312358856201
loud,19,quiet,74,55,1.0947051420807838
quiet,74,loud,19,55,1.0947051420807838
mad,35,happy,91,56,1.0231013428419828
happy,91,sad,34,57,1.024752015247941
safe,58,unsafe,1,57,0.9640714414417744
unsafe,1,safe,58,57,0.9640714414417744
bright,77,dim,19,58,0.9339832589030266
dim,19,bright,77,58,0.9339832589030266
grow,63,shrink,5,58,0.9056959822773933
shrink,5,grow,63,58,0.9056959822773933
justice,75,injustice,16,59,1.1796025186777115
combine,14,separate,76,62,0.9722307082265615
narrow,61,wide,123,62,0.8132458031177521
wide,123,narrow,61,62,0.8132458031177521
offer,79,refuse,16,63,0.8216788470745087
simple,155,complex,90,65,0.9972849853802472
leader,69,follower,3,66,1.0240117013454437
sour,2,sweet,68,66,0.9005697667598724
sweet,68,sour,2,66,0.9005697667598724
raise,51,lower,118,67,1.1398484110832214
forget,52,remember,120,68,0.9584629870951176
noisy,6,quiet,74,68,1.0351748690009117
advantage,73,disadvantage,4,69,0.840658888220787
poetry,82,prose,13,69,0.9366856217384338
regular,79,irregular,9,70,1.0421497263014317
enter,78,exit,7,71,0.9673619717359543
fresh,76,stale,4,72,1.0649707540869713
patient,86,impatient,10,76,0.8780024871230125
second,341,hand,418,77,1.1208335757255554
ally,9,enemy,87,78,1.0800865441560745
easy,121,hard,199,78,1.3508943915367126
pretty,99,ugly,21,78,0.7331724762916565
bent,34,straight,113,79,0.926760345697403
tough,35,easy,121,86,0.9201031476259232
deep,101,shallow,14,87,0.9848010884597898
shallow,14,deep,101,87,0.9848010884597898
past,277,present,370,93,1.0206231735646725
backward,21,forward,115,94,0.8863426297903061
black,156,white,254,98,0.887342281639576
white,254,black,156,98,0.887342281639576
boundless,2,limited,102,100,1.1849635243415833
limited,102,boundless,2,100,1.1849635243415833
answer,149,question,250,101,1.0120357926934958
beautiful,122,ugly,21,101,1.1019222736358643
question,250,answer,149,101,1.0120357926934958
closed,104,ajar,2,102,1.1401761919260025
serious,113,trivial,11,102,1.2297426462173462
start,140,finish,37,103,1.0608760118484497
include,111,exclude,7,104,1.2372606843709946
appear,117,disappear,11,106,0.9131888747215271
disappear,11,appear,117,106,0.9131888747215271
alive,57,dead,166,109,0.8722173720598221
dead,166,alive,57,109,0.8722173720598221
crooked,2,straight,113,111,1.0026321380864829
straight,113,crooked,2,111,1.0026321380864829
vanish,5,appear,117,112,0.9399864263832569
ancient,63,modern,180,117,1.0425241440534592
bottom,80,top,199,119,1.020871590822935
top,199,bottom,80,119,1.020871590822935
truth,124,falsehood,2,122,1.0785488858819008
before,948,after,823,125,0.9973985529504716
left,471,right,597,126,1.1028662621974945
knowledge,143,ignorance,14,129,1.005624265410006
likely,151,unlikely,21,130,1.133050799369812
within,321,outside,190,131,0.9548836089670658
artificial,17,natural,152,135,1.0185604356229305
misunderstand,1,understand,137,136,0.8771333396434784
hard,199,soft,61,138,0.9908995954319835
soft,61,hard,199,138,0.9908995954319835
below,132,above,275,143,0.819545641541481
despair,21,hope,164,143,0.8769747763872147
dark,170,light,320,150,0.835343211889267
light,320,dark,170,150,0.835343211889267
tall,53,short,206,153,1.1000162214040756
early,333,late,174,159,0.975236427038908
empty,64,full,225,161,0.962804526090622
full,225,empty,64,161,0.962804526090622
strong,194,weak,32,162,1.001784298219718
weak,32,strong,194,162,1.001784298219718
large,354,small,518,164,1.0105675105005503
common,208,rare,40,168,0.8092884123325348
rare,40,common,208,168,0.8092884123325348
hate,42,love,214,172,1.0960035249590874
love,214,hate,42,172,1.0960035249590874
peace,133,war,305,172,0.9785038139671087
war,305,peace,133,172,0.9785038139671087
major,227,minor,49,178,0.8972695767879486
minor,49,major,227,178,0.8972695767879486
close,230,far,409,179,1.0233443677425385
decrease,15,increase,194,179,1.1712656468153
increase,194,decrease,15,179,1.1712656468153
feeble,8,strong,194,186,1.0548099763691425
false,28,true,217,189,0.8981239646673203
true,217,false,28,189,0.8981239646673203
known,245,unknown,47,198,1.1292941272258759
take,577,give,379,198,0.8735544234514236
unknown,47,known,245,198,1.1292941272258759
free,243,bound,42,201,0.9380925595760345
open,305,closed,104,201,0.9968452889006585
old,568,young,359,209,0.8794781044125557
young,359,old,568,209,0.8794781044125557
apart,47,together,260,213,0.8735222816467285
heavy,107,light,320,213,1.094455361366272
together,260,apart,47,213,0.8735222816467285
always,449,never,664,215,1.1192570477724075
never,664,always,449,215,1.1192570477724075
private,186,public,401,215,1.1246991157531738
clear,219,cloudy,2,217,0.9460135474801064
far,409,near,190,219,1.0432718433439732
near,190,far,409,219,1.0432718433439732
day,623,night,398,225,0.9199637249112129
night,398,day,623,225,0.9199637249112129
right,597,side,370,227,1.028307233005762
captive,5,free,243,238,1.0355304814875126
real,251,fake,10,241,0.9428494051098824
tiny,49,big,316,267,0.9456663094460964
possible,373,impossible,82,291,1.0116468565538526
cruel,14,kind,310,296,0.9574102684855461
high,461,low,160,301,1.0325205326080322
low,160,high,461,301,1.0325205326080322
give,379,receive,76,303,1.0655268505215645
help,303,hinder,0,303,1.0039127012714744
hinder,0,help,303,303,1.0039127012714744
best,341,worst,33,308,0.878264032304287
begin,82,end,400,318,1.0393696539103985
end,400,begin,82,318,1.0393696539103985
find,395,lose,58,337,1.0617198310792446
lose,58,find,395,337,1.0617198310792446
get,719,give,379,340,1.1239972934126854
absent,28,present,370,342,0.9747873041778803
few,583,many,925,342,1.0612191185355186
many,925,few,583,342,1.0612191185355186
better,402,worse,48,354,0.9767905231565237
important,365,trivial,11,354,1.0101024340838194
found,536,lost,173,363,1.059034787118435
wrong,128,right,597,469,0.9560282230377197
big,316,little,788,472,1.2290531694889069
little,788,big,316,472,1.2290531694889069
new,1060,old,568,492,0.9305901452898979
go,605,stop,110,495,0.7893156260251999
stop,110,go,605,495,0.7893156260251999
long,713,short,206,507,1.0509659461677074
over,1206,under,648,558,1.0351547487080097
under,648,over,1206,558,1.0351547487080097
great,608,tiny,49,559,1.233131393790245
opposite,78,same,679,601,1.0732642114162445
same,679,opposite,78,601,1.0732642114162445
first,1242,last,636,606,1.103822223842144
last,636,first,1242,606,1.103822223842144
bad,139,good,767,628,0.9605976417660713
good,767,bad,139,628,0.9605976417660713
just,751,unjust,3,748,0.916201189160347
upside,8,down,888,880,0.936078816652298
even,985,odd,44,941,0.9675702229142189
odd,44,even,985,941,0.9675702229142189
down,888,up,1874,986,0.9708399716764688
up,1874,down,888,986,0.9708399716764688
them,1786,us,670,1116,0.9225593283772469
us,670,them,1786,1116,0.9225593283772469
like,1237,dislike,14,1223,1.2230288684368134
here,607,there,1877,1270,1.061338447034359
there,1877,here,607,1270,1.061338447034359
none,92,some,1407,1315,1.1470995992422104
some,1407,none,92,1315,1.1470995992422104
can,1738,cannot,258,1480,0.9939824207685888
less,426,more,2130,1704,0.9925733101554215
more,2130,less,426,1704,0.9925733101554215
no,1781,yes,55,1726,0.9799374006688595
yes,55,no,1781,1726,0.9799374006688595
all,2726,none,92,2634,0.8533000200986862
haves,0,have,3892,3892,1.0449493899941444
on,6395,off,634,5761,0.9358220100402832
against,618,for,8841,8223,1.1367201507091522
for,8841,against,618,8223,1.1367201507091522
in,19536,out,2058,17478,0.9401903823018074
out,2058,in,19536,17478,0.9401903823018074
